File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\KitchenBarArchivedOrdersActivity.kt,17,13,2,0,4,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\KitchenBarDashboardActivity.kt,59,47,8,1,12,1,0,1,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\ServiceAddDishesToOrderActivity.kt,27,21,4,0,6,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\ServiceAlreadyOrderedDishesActivity.kt,17,13,2,0,4,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\ServiceCreateOrderActivity.kt,17,13,2,0,4,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\ServiceDashboardActivity.kt,17,13,2,0,4,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\ServiceOrderedDishesOverviewActivity.kt,30,25,6,2,5,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\activity\ServicePaymentActivity.kt,17,13,2,0,4,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\adapter\AdminDishesEditAdapter.kt,42,34,4,2,8,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\adapter\AdminUsersOverviewAdapter.kt,47,37,5,2,10,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\adapter\GeneralChooseAccountAdapter.kt,76,64,12,3,12,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\adapter\GeneralMenuDishesAdapter.kt,35,25,3,2,10,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\adapter\KitchenBarActiveDishesAdapter.kt,40,33,4,2,7,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\adapter\KitchenBarActiveOrderAdapter.kt,54,45,5,2,9,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\adapter\KitchenBarArchivedDishesAdapter.kt,25,20,2,1,5,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\adapter\KitchenBarArchivedOrderAdapter.kt,34,30,3,1,4,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\adapter\ServiceActiveOrdersAdatper.kt,68,55,11,5,13,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\adapter\ServiceAddDishesToOrderAdatper.kt,62,50,9,5,12,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\adapter\ServiceDishPayListAdaper.kt,59,48,9,6,11,1,0,1,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\helper\AssetLoaderHelper.kt,18,13,2,0,5,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\helper\OnItemClicked.kt,8,6,1,0,2,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\helper\SetOrderedDishesStatusInterface.kt,11,6,1,0,5,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\helper\StringExtension.kt,24,21,2,1,3,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\view\helper\Validator.kt,39,30,7,8,9,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\test\java\com\example\ordermatic\ExampleUnitTest.kt,17,9,2,0,3,0,5,20,0,0
